"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"R20303","長野県","小海町","4713","2276","2437","4609","unknown","2413","443","235","208","2429","1259","欠損値","1841","782","1059","1106","421","685","104","34","85","133","143","1873","1868","4593","1025","521","587","","279","17","3","11420","2138","321","6","47","31","2","1","7","74","3","4","9","unknown","33","9","22","4","17","6","6","78","237","2256","55","360","189","4","5","74","unknown","20","8","31","unknown","unknown","unknown","359","26","109","欠損値","55","549","1652","209","272","80.6","6.9","4185560","566754","3947833","806228","377502","400114","6779","0","0","1","14","169","1","16","145","1","288","2512","1408","1104","66","45","21","1692","588","1104","570","欠損値","1392","12","0","4782","807","63","24","unknown","1","2","","14","5","10","1","140"
"R20304","長野県","川上村","4607","2731","","3881","2031","1850","505","268","237","2950","1938","1012","1151","524","627","650","266","384","726","29","52","66","111","","","4607","417","230","218","118","120","15","欠損値","欠損値","3210","191","13","28","8","unknown","欠損値","9","42","1","1","1","","欠損値","11","9","unknown","14","6","13","37","141","unknown","85","103","34","3","0","","293","7","1","1","101","54","19","","42","39","56","85","140","819","510","26","71.6","1.4","3802162","672686","3642522","649457","欠損値","362400","10439","unknown","","2","26","167","1","12","92","0","0","3277","2148","1129","25","22","3","798","291","507","2492","129","unknown","9","1","4858","1280","33","8","0","0","欠損値","1","2","unknown","unknown","0","0"
"R20305","","南牧村","unknown","1848","1560","","1455","1525","388","187","201","2059","1242","817","unknown","419","542","574","210","364","428","26","49","79","99","1036","1033","unknown","439","258","239","134","110","14","3","13309","2929","160","9","11","","1","欠損値","6","29","1","5","5","39","11","10","","5","10","3","unknown","16","135","1449","148","45","unknown","unknown","0","","213","unknown","14","65","326","59","103","120","99","37","40","148","119","1182","328","52","","unknown","4287646","651139","3641077","676769","unknown","244781","18454","0","0","2","","166","1","13","97","0","0","2196","1365","831","23","17","6","801","279","522","1330","105","757","8","1","欠損値","109","25","欠損値","0","0","4","1","2","1","3","2","78"
"R20306","長野県","南相木村","欠損値","unknown","","983","467","unknown","112","","57","476","255","221","417","167","250","273","96","177","22","2","19","16","28","unknown","428","1005","219","138","133","83","unknown","欠損値","2","unknown","821","65","1","16","5","1","1","1","","0","1","1","unknown","6","3","4","1","2","4","1","22","42","236","8","42","","2","","1","","0","3","1","21","27","16","29","5","5","40","8","57","171","66","86","82.5","0.1","欠損値","825100","1795274","321531","260037","176516","0","0","0","1","10","39","unknown","0","0","0","0","欠損値","欠損値","222","14","11","3","365","unknown","245","185","82","232","4","1","1053","88","6","1","0","0","1","0","","欠損値","0","1","21"
"R20307","長野県","unknown","774","381","393","749","360","","89","欠損値","37","","201","180","欠損値","","176","206","欠損値","unknown","25","6","12","unknown","36","333","","743","175","112","欠損値","unknown","64","3","1","unknown","unknown","38","1","7","7","0","0","0","4","1","0","1","2","2","3","4","1","2","3","1","14","23","162","1","33","34","0","0","0","9","4","0","1","10","4","unknown","19","3","","23","1","67","","49","60","83","4.5","1727625","107910","1661740","255592","434752","166721","7521","unknown","0","1","11","61","0","","","unknown","0","390","224","166","12","11","","283","94","","123","欠損値","178","10","0","","","4","0","0","0","1","0","1","0","0","unknown","15"
"R20309","長野県","佐久穂町","11186","5392","5794","欠損値","5359","5739","1202","616","586","6032","3060","","3951","1716","2235","2242","875","1367","88","52","163","unknown","328","4014","4008","10920","2331","864","unknown","627","565","40","9","18815","3787","553","7","123","70","欠損値","欠損値","7","106","3","13","欠損値","59","53","欠損値","","10","26","9","7","196","350","3457","82","533","unknown","2","","19","538","unknown","43","47","262","146","108","577","54","66","167","82","1305","2070","568","746","86.2","10.8","8087755","1086112","7797579","欠損値","1251407","475858","26538","0","0","1","32","510","1","21","250","0","0","5728","3160","2568","231","156","75","4016","1457","2559","929","1595","3158","2","1","11337","unknown","85","34","1","1","6","4","9","6","","","262"
"R20321","長野県","軽井沢町","18994","","9887","18638","8932","9706","2229","1117","1112","10772","","5519","5610","2492","3118","","1017","1537","unknown","125","207","1189","1071","8247","8215","18524","4748","2690","2086","1272","918","","37","15603","","unknown","10","134","unknown","4","8","25","513","5","134","36","506","106","49","65","6","65","12","10","160","1534","13159","83","811","214","24","37","424","3098","70","625","162","","1038","unknown","787","56","603","271","83","1025","12051","114","168","欠損値","0.4","14476949","9179098","13573762","2542044","2334175","1556250","2948","2","91","3","65","unknown","","28","404","2","483","unknown","4931","4321","347","233","114","6250","","3935","306","1289","7373","","2","unknown","4115","491","272","2","1","18","11","25","14","27","4","437"
"R20323","長野県","","15184","7561","7623","14760","7389","7371","2062","1075","","8927","4574","4353","3874","1731","2143","1924","778","1146","363","","177","773","714","6118","6108","14885","3597","1799","","741","518","","","5879","2544","587","10","80","56","2","3","","112","7","23","22","","unknown","18","47","4","36","5","10","136","441","6296","108","381","2793","11","17","159","743","unknown","85","87","456","210","163","633","54","","欠損値","108","3174","3014","291","346","81","8.9","7800838","2283270","7407598","欠損値","780927","451401","","2","124","2","","852","1","33","unknown","欠損値","0","7815","4404","欠損値","unknown","236","135","4321","1513","2808","790","2312","欠損値","1","1","15525","","95","unknown","","1","6","","15","7","12","4","347"
"R20324","長野県","unknown","7265","","3682","7184","3543","3641","787","398","","4038","2079","1959","2440","1106","1334","1278","","","81","unknown","126","198","欠損値","2682","2671","","1552","625","","欠損値","300","","8","6687","2650","398","10","56","42","1","4","9","70","4","6","17","93","23","15","欠損値","5","","6","11","98","289","3166","145","319","635","5","15","104","428","30","63","68","828","94","97","155","33","58","86","148","954","2064","unknown","unknown","unknown","6.8","4775698","910487","欠損値","1061057","404449","342615","8066","0","0","1","21","305","1","18","164","1","282","3992","","1769","130","90","40","2352","869","欠損値","unknown","1067","2208","","0","","","56","","1","0","4","3","2","6","6","0","0"
"R20349","長野県","青木村","4343","2084","2259","4321","2077","2244","502","246","256","2234","1122","1112","1598","711","887","unknown","332","521","21","22","72","102","100","","1553","","986","unknown","unknown","292","195","15","5","5710","1080","203","4","27","48","2","1","4","33","unknown","4","4","21","16","10","unknown","3","7","3","4","75","124","1232","unknown","66","497","3","2","103","110","unknown","6","11","62","40","","166","44","欠損値","49","19","563","650","166","375","80","7","3551020","406203","unknown","717400","312019","216124","0","","0","1","17","219","1","13","","0","欠損値","2040","1143","897","89","63","26","1694","622","1072","217","","1062","13","1","欠損値","277","30","12","0","0","2","1","1","1","2","1","97"
"R20350","長野県","長和町","欠損値","3029","3137","6124","3015","3109","624","328","296","3173","1629","1544","2344","1060","1284","1291","531","760","42","26","85","137","175","unknown","2408","6084","1454","588","847","欠損値","374","17","6","18386","2532","411","9","66","54","0","3","8","59","5","欠損値","6","100","21","15","欠損値","6","17","9","","欠損値","282","unknown","125","261","524","0","8","323","欠損値","17","55","11","313","59","97","509","43","46","107","125","785","","203","502","91.8","unknown","6341493","欠損値","欠損値","1174178","651020","514444","67788","0","0","2","unknown","245","0","0","0","0","0","欠損値","1756","1352","108","欠損値","","2290","856","1434","341","881","1829","35","0","6247","264","51","31","unknown","1","3","2","17","3","10","2","130"
"","長野県","下諏訪町","20236","9749","10487","20022","9678","10344","2383","1205","1178","10558","","5163","7262","3127","4135","欠損値","1541","2299","欠損値","113","273","600","652","unknown","","19765","4617","","2479","1312","1094","欠損値","27","6687","820","unknown","1","103","200","4","9","","272","16","","40","154","103","39","81","5","54","6","1","欠損値","849","10008","3","541","2417","189","67","unknown","1648","103","257","167","974","494","445","1770","63","596","158","3","2958","7047","21","unknown","unknown","1.7","unknown","2669620","欠損値","2323848","921924","717787","","0","0","2","55","935","2","欠損値","482","1","596","9675","5427","4248","419","274","145","7642","2776","4866","135","3641","5830","3","","20565","454","192","110","1","3","13","14","32","21","42","","455"
"R20362","長野県","富士見町","14493","7039","7454","14327","6968","7359","1803","921","882","7786","unknown","3837","4871","2145","2726","","1071","欠損値","159","87","185","387","474","5396","5384","14102","3108","1354","1542","unknown","671","56","20","14476","4495","723","13","110","121","欠損値","6","18","120","5","15","19","96","52","33","42","unknown","46","7","14","232","477","7558","175","402","3371","14","unknown","191","754","41","65","46","406","240","377","1003","92","unknown","180","189","3775","3594","欠損値","472","82.6","","7679529","2424936","7208640","1907322","871348","770495","37643","0","0","3","52","751","欠損値","29","欠損値","1","302","7380","欠損値","3281","245","167","78","4968","1800","3168","971","2466","3895","40","1","14826","1963","93","51","0","1","8","4","32","5","21","5","352"
"R20363","長野県","原村","7566","3717","unknown","7519","3701","3818","976","483","493","","2124","unknown","2448","1110","1338","1232","","unknown","47","53","98","306","239","2673","2664","7287","1662","533","unknown","421","unknown","29","13","4326","2322","unknown","8","82","54","1","5","欠損値","55","1","13","23","104","10","21","20","4","18","6","8","unknown","289","2408","67","","357","unknown","","欠損値","欠損値","unknown","40","47","unknown","16","欠損値","307","24","230","欠損値","unknown","641","1700","500","167","83.8","","4254731","925281","unknown","1078182","欠損値","430720","20889","欠損値","40","unknown","26","417","","18","227","0","0","4146","2294","1852","127","欠損値","unknown","2305","850","1455","1007","1120","2007","16","欠損値","","138","42","23","0","0","5","3","3","3","5","",""
"R20382","長野県","辰野町","19770","9657","10113","19457","9507","","2375","1217","1158","10560","5403","5157","6812","3020","欠損値","3521","1413","2108","310","109","欠損値","484","570","7343","7329","","4268","1753","2282","1186","欠損値","68","25","16920","2453","欠損値","5","112","209","2","5","13","198","14","29","41","97","71","38","61","","61","8","5","321","647","9018","21","497","4019","unknown","11","194","1110","100","欠損値","unknown","530","195","401","","欠損値","575","209","21","欠損値","4481","欠損値","826","80.9","8.8","9044077","2482074","8619595","2511143","1178164","778770","686","1","","5","86","1022","1","欠損値","465","1","欠損値","9600","5421","4179","欠損値","237","107","7361","","4633","467","4288","4802","28","2","19759","1357","149","74","","1","13","12","unknown","16","30","6","507"
"R20383","長野県","箕輪町","25241","12681","欠損値","24274","","12055","3591","1887","1704","unknown","7629","7030","6891","3096","3795","3394","1377","2017","unknown","186","289","781","欠損値","9240","欠損値","25019","5379","欠損値","2307","1114","745","99","32","8591","","1141","9","120","288","欠損値","unknown","20","240","12","33","36","124","87","39","56","6","59","8","9","408","724","13070","54","533","6109","27","10","368","1801","122","89","unknown","796","388","383","1117","84","851","208","欠損値","6642","6374","","832","unknown","10.1","10308309","3412468","9709505","","886539","770166","29050","0","0","5","99","1439","1","44","713","1","367","","","unknown","478","321","157","unknown","2582","欠損値","","5800","unknown","16","1","25037","4461","195","94","5","1","12","9","16","11","35","7","673"
"R20384","長野県","飯島町","9530","4605","4925","9351","4551","","1112","564","548","欠損値","2658","unknown","3200","1379","1821","1730","674","欠損値","欠損値","44","125","unknown","296","3325","3318","9389","1818","720","964","","309","40","14","8696","2860","452","14","66","","1","欠損値","6","72","3","10","18","51","35","16","37","欠損値","25","6","15","148","289","4129","206","285","1944","5","6","88","430","欠損値","34","49","210","57","unknown","unknown","56","97","unknown","207","欠損値","1682","","欠損値","欠損値","8.1","5237047","1191623","4890987","1226385","542088","439428","0","0","0","2","31","欠損値","1","20","228","0","0","5237","unknown","2337","149","98","51","2997","1020","1977","欠損値","2002","2350","4","1","9689","2167","59","42","0","0","欠損値","5","4","6","6","3","unknown"
"R20385","欠損値","南箕輪村","15063","7498","7565","14785","7382","7403","2406","1242","1164","9214","4740","4474","3377","unknown","1901","1635","","990","265","129","","670","577","5839","5828","14806","欠損値","1783","1125","unknown","381","66","21","4099","1772","unknown","8","70","113","1","欠損値","27","141","5","33","unknown","44","55","23","37","3","23","5","8","183","","6893","99","unknown","2184","8","74","767","1280","","74","","欠損値","224","271","欠損値","47","223","107","99","2523","4271","269","322","unknown","5.7","unknown","2170334","6730426","2609592","欠損値","欠損値","0","unknown","0","2","58","1011","1","36","unknown","1","欠損値","7654","4274","3380","欠損値","160","","4212","1501","2711","509","2863","4093","13","1","15369","1478","80","27","3","0","8","3","11","欠損値","19","5",""
"欠損値","長野県","中川村","4850","2300","2550","4807","2289","2518","649","308","341","2583","unknown","欠損値","1618","710","908","872","340","532","43","27","欠損値","128","unknown","1584","1582","unknown","860","259","","245","146","11","unknown","7705","1836","210","11","","34","2","1","3","unknown","1","3","8","18","12","7","19","4","9","6","11","71","128","1470","176","198","289","11","1","25","163","","11","","90","16","欠損値","","51","17","78","176","499","795","447","239","78.8","2.3","unknown","469280","3672429","708543","","264367","0","0","0","2","欠損値","286","1","17","137","0","0","2816","1497","1319","53","unknown","unknown","1331","460","871","628","914","1273","19","1","4957","unknown","29","13","0","0","2","1","4","1","6","2","166"
"R20388","長野県","宮田村","8821","4285","4536","8651","4225","4426","1339","696","643","4983","2518","2465","2477","1056","1421","1276","499","777","166","57","79","236","260","3122","3115","8694","欠損値","648","778","421","285","unknown","15","","1470","unknown","4","49","85","1","1","7","unknown","4","7","17","40","41","10","35","欠損値","21","4","4","134","276","unknown","90","171","2121","6","8","unknown","498","27","13","49","209","79","unknown","欠損値","45","126","63","90","2292","1806","欠損値","unknown","81.3","","","","3907925","1143473","318591","357539","0","0","0","1","31","unknown","unknown","25","296","0","欠損値","4524","2488","2036","欠損値","","47","欠損値","948","1738","328","1904","2251","unknown","1","9097","219","70","27","0","","3","4","","8","6","unknown","340"
"R20402","欠損値","松川町","13167","unknown","6836","13072","欠損値","6790","1676","835","841","7258","3628","3630","4218","1859","2359","","unknown","1386","93","欠損値","175","欠損値","356","4355","4337","12873","2435","765","1195","606","","46","23","7279","2532","610","6","98","94","欠損値","1","欠損値","136","5","16","15","53","","19","60","5","29","6","unknown","192","412","5182","47","526","1923","17","unknown","165","768","50","39","41","257","133","210","698","unknown","137","92","47","unknown","2686","778","289","83.5","7.4","6909581","1473980","6591140","1717554","811571","856375","2392","0","0","2","49","664","1","30","378","1","381","7481","4045","3436","170","116","欠損値","3766","1295","2471","1696","2312","3420","9","1","13409","2853","欠損値","欠損値","欠損値","1","4","5","12","6","欠損値","3","321"
"R20403","長野県","高森町","13080","unknown","6811","12985","6241","unknown","2069","1042","1027","7035","3498","","3970","1727","2243","2126","835","1291","91","94","unknown","336","345","4247","unknown","unknown","欠損値","749","1093","525","371","56","23","4536","1979","556","7","78","欠損値","1","3","13","123","8","14","","64","48","17","41","5","23","9","7","157","392","","39","409","欠損値","6","14","145","1333","65","213","76","438","236","158","784","","","欠損値","39","1903","3787","757","299","86.5","14.7","6935405","1432787","6441530","1895799","751231","512159","0","0","0","2","51","837","1","29","458","0","0","7036","3793","unknown","193","133","60","3730","1274","2456","1212","2094","unknown","22","1","13191","1135","106","欠損値","1","1","欠損値","4","unknown","5","24","5","482"
"R20404","長野県","阿南町","4962","2371","2591","4912","unknown","2549","482","263","219","2387","1250","1137","2093","858","1235","1333","490","欠損値","50","","84","118","135","欠損値","1708","unknown","812","499","491","299","257","欠損値","5","12307","1397","313","7","欠損値","21","2","0","欠損値","unknown","欠損値","1","6","22","","13","34","5","18","11","7","95","211","2045","50","216","379","","0","26","293","14","","11","68","51","132","586","60","54","欠損値","50","605","","215","417","80.2","2.6","4102908","419155","3856996","834213","286095","383382","28815","0","unknown","5","44","190","","24","95","1","250","2380","1302","1078","70","56","14","2019","744","1275","","651","1344","38","1","unknown","115","56","13","0","1","5","2","unknown","欠損値","欠損値","3","130"
"R20407","欠損値","阿智村","unknown","欠損値","","6426","3077","3349","870","461","409","3444","1718","1726","2224","939","1285","1298","468","830","112","36","120","151","199","2188","2179","6304","1094","514","555","320","275","21","11","21443","2229","467","unknown","64","58","3","0","unknown","98","3","5","6","80","33","16","39","7","31","7","7","122","338","3776","unknown","236","870","5","0","133","465","20","13","36","838","160","欠損値","469","欠損値","欠損値","unknown","45","1106","2625","297","432","80.9","-0.6","5670912","753251","5111759","欠損値","553997","334621","18279","0","0","5","欠損値","355","1","19","201","1","欠損値","3531","1883","1648","112","78","","","689","1320","513","991","2005","7","unknown","6585","775","82","","0","0","10","1","3","2","","3","151"
"","長野県","平谷村","484","229","255","482","欠損値","255","67","unknown","32","234","unknown","111","183","71","unknown","127","欠損値","85","","unknown","13","21","28","211","unknown","484","","86","51","31","59","2","0","7737","246","54","欠損値","6","2","1","0","1","9","0","","unknown","unknown","6","1","3","1","3","4","3","欠損値","43","272","欠損値","24","8","1","0","4","47","","0","2","44","53","12","12","4","6","31","24","unknown","unknown","10","41","76.6","2.7","1182808","94759","","110503","","51036","0","0","0","1","11","","0","0","0","0","","","124","89","4","3","1","200","67","133","23","38","145","1","0","435","20","6","11","","0","1","0","","0","0","0","0"
"R20410","長野県","根羽村","欠損値","483","487","960","482","478","70","38","32","422","221","201","478","224","254","321","139","182","10","2","23","12","unknown","416","415","951","185","142","133","","69","1","2","8997","454","74","2","7","9","unknown","0","3","20","0","unknown","1","","5","2","6","unknown","6","3","2","16","56","unknown","unknown","39","127","0","0","14","96","0","2","2","24","29","","37","4","11","24","unknown","166","欠損値","74","92","71.1","欠損値","2223527","90567","2061513","欠損値","72052","106512","0","0","0","欠損値","9","22","1","10","15","0","0","519","281","238","","8","3","370","156","","113","135","271","24","1","unknown","75","17","unknown","0","0","","0","1","0","0","1","13"
"R20411","長野県","下條村","3851","1870","1981","3813","","1954","579","298","281","2041","1024","1017","1231","548","683","732","293","439","38","24","欠損値","104","100","1159","1157","3741","632","176","292","欠損値","101","11","unknown","欠損値","1156","185","4","41","15","1","0","unknown","47","0","4","3","欠損値","10","9","欠損値","7","7","4","4","58","","1330","34","","465","2","","9","219","","15","5","78","61","19","162","32","25","28","34","641","655","295","183","71.5","-4.5","2929639","345711","2672315","","163974","429471","48400","0","0","1","16","203","","14","150","0","0","2088","1158","930","64","44","20","1120","370","750","459","653","975","3","1","3805","218","36","8","0","0","2","1","1","1","1","1","112"
"R20412","長野県","売木村","欠損値","270","305","571","267","304","63","","26","253","121","","259","112","147","欠損値","67","100","4","2","10","44","38","270","269","unknown","127","unknown","","64","欠損値","1","1","4343","455","","3","3","4","1","0","欠損値","10","0","1","0","16","4","4","9","1","4","3","3","7","53","299","17","unknown","27","欠損値","0","0","欠損値","0","欠損値","0","79","48","27","29","4","","","17","36","246","66","32","88.4","10.3","1539275","70499","1523090","","149100","97320","42713","0","0","1","11","31","1","9","17","0","0","330","unknown","159","3","3","欠損値","179","59","unknown","101","39","unknown","8","0","565","32","9","5","0","0","1","1","0","1","unknown","1","9"
"R20413","長野県","天龍村","1365","634","731","1351","","722","unknown","33","unknown","480","267","213","806","334","472","543","199","344","14","4","46","欠損値","56","651","","1246","","268","253","154","188","5","2","10944","705","111","3","unknown","","3","0","1","21","1","unknown","2","12","unknown","4","11","4","4","4","3","32","76","unknown","33","117","欠損値","31","0","5","44","6","欠損値","12","unknown","22","42","198","8","","53","33","欠損値","468","41","105","73.6","unknown","2159713","221551","2107155","324982","313387","125206","15738","0","0","2","","21","2","","18","0","0","613","354","259","15","14","1","657","232","425","115","165","332","","1","1359","236","21","6","0","0","2","0","欠損値","0","0","1","17"
"R20414","","泰阜村","1702","786","916","","772","899","177","73","104","845","434","411","680","279","401","448","158","290","31","12","38","70","79","639","unknown","1622","319","184","178","105","121","4","0","","730","unknown","unknown","16","欠損値","0","0","3","23","1","1","1","8","4","","9","2","11","6","3","unknown","73","660","7","63","107","0","0","112","欠損値","","2","unknown","25","7","22","136","6","","60","11","174","475","72","160","74","7.8","2478938","186180","2256490","430886","419367","148417","17966","0","0","1","unknown","unknown","1","11","45","0","0","930","503","427","27","unknown","12","568","195","373","187","265","478","1","0","1729","524","21","unknown","0","0","2","1","1","unknown","0","","52"
"R20415","長野県","喬木村","unknown","3060","unknown","6242","3037","unknown","","unknown","428","unknown","","","2083","890","1193","unknown","416","695","68","45","114","132","165","欠損値","2018","6140","1134","340","606","293","203","18","8","6661","1267","332","5","71","42","1","1","4","63","1","欠損値","8","34","unknown","13","38","3","16","4","5","113","214","2316","54","欠損値","560","4","8","42","279","unknown","15","22","169","82","268","","34","43","52","54","815","1447","","336","84.2","8.8","4170406","","4031341","873415","606523","565618","0","0","0","2","30","365","欠損値","17","194","","0","3433","1881","1552","73","46","27","1917","677","1240","612","欠損値","1792","1","1","欠損値","欠損値","46","19","0","","3","欠損値","2","2","4","3","210"
"R20416","欠損値","豊丘村","6592","3222","3370","6504","3188","3316","944","512","432","欠損値","1790","1764","2094","欠損値","1174","1197","478","719","88","50","76","","171","2054","2049","欠損値","1175","296","587","unknown","183","25","13","7679","1445","263","8","","欠損値","2","1","","44","4","","8","14","16","11","24","4","20","4","","93","162","2080","50","228","662","5","1","49","284","23","25","24","54","30","unknown","342","63","92","64","50","890","1140","433","276","75.9","7","6146120","欠損値","5321824","1073180","761200","319757","7376","unknown","0","2","33","396","1","21","206","0","0","3765","2067","1698","94","62","32","","581","1207","809","","1732","unknown","1","6762","欠損値","31","11","1","0","2","unknown","2","3","2","3","261"
"R20417","長野県","unknown","1023","503","520","1018","502","516","91","43","48","412","223","189","520","237","283","335","145","190","5","6","29","22","36","欠損値","欠損値","","261","162","182","122","104","6","4","24828","2461","98","3","8","9","1","0","1","欠損値","0","0","5","25","4","","8","2","4","3","欠損値","18","77","欠損値","20","78","61","2","unknown","1","79","0","0","9","欠損値","","32","50","","6","38","20","149","307","87","unknown","70.3","1.9","2459354","185154","2013720","304913","185680","164774","0","0","0","1","9","38","1","11","18","unknown","0","469","","201","31","24","7","unknown","","262","152","85","231","3","0","1041","488","17","unknown","unknown","unknown","欠損値","0","2","0","0","1","25"
"R20422","unknown","上松町","欠損値","2279","2391","4613","","unknown","442","240","202","2387","1283","1104","1838","753","1085","1096","394","702","57","15","80","130","169","1864","1852","欠損値","994","","600","299","320","22","6","16842","1625","362","9","50","41","2","0","5","","3","20","欠損値","51","23","9","23","5","17","","9","92","261","","137","231","560","","","74","366","20","27","22","270","90","61","347","23","184","84","unknown","794","1673","欠損値","96","84.3","5.6","3915789","589731","3830371","823819","529312","288424","528","0","0","1","15","170","1","14","104","0","0","unknown","1323","980","","55","unknown","","656","1182","173","710","欠損値","30","0","欠損値","欠損値","72","26","欠損値","0","4","","2","1","4","1","欠損値"
"R20423","長野県","南木曽町","unknown","","欠損値","4286","2048","2238","466","237","229","2089","1086","欠損値","1753","729","1024","1023","380","643","27","14","90","109","119","1713","","unknown","925","489","564","","284","欠損値","2","21593","2304","362","7","54","65","2","1","8","87","2","6","9","53","12","9","22","5","欠損値","5","7","120","unknown","2147","96","206","欠損値","8","1","64","272","12","欠損値","12","unknown","23","106","242","34","56","84","96","816","1235","179","211","84.9","6.9","4074118","606304","3926564","767896","419725","欠損値","124853","0","0","1","19","209","1","13","93","1","197","2266","1274","unknown","43","28","15","1531","512","1019","210","796","1252","8","0","4208","854","","欠損値","","0","unknown","1","1","欠損値","3","3","105"
"unknown","長野県","","欠損値","1355","1571","2899","1348","1551","316","","171","1437","726","711","1162","478","684","673","欠損値","420","27","21","46","49","51","1045","1044","2857","597","216","364","191","150","9","4","14050","unknown","247","6","39","43","1","unknown","","欠損値","0","5","2","36","15","11","10","4","12","4","6","82","159","","51","241","","8","1","116","159","0","9","unknown","","26","","121","32","50","57","51","417","782","61","137","83.1","5.9","unknown","655566","2720442","510080","344558","208372","5465","0","0","1","13","137","1","10","欠損値","0","0","unknown","827","655","38","32","unknown","1075","344","731","118","欠損値","882","6","0","2954","343","41","18","","0","2","1","1","2","3","1","74"
"R20429","長野県","王滝村","839","387","452","827","386","441","57","unknown","31","","228","227","327","133","194","199","","132","12","2","11","31","42","欠損値","397","","178","168","112","57","79","1","欠損値","31082","3516","91","7","6","5","3","0","2","16","0","1","1","27","5","3","5","","3","4","7","unknown","72","","50","15","55","8","0","14","35","0","6","1","93","10","21","50","18","56","58","50","78","370","欠損値","44","欠損値","5.5","2291618","246834","unknown","","194121","153362","81199","0","0","1","7","20","1","10","18","0","0","440","242","198","10","9","1","332","110","222","","unknown","","8","0","776","43","15","4","0","0","1","0","1","1","4","1","6"
"","長野県","大桑村","3825","","1967","3781","1838","1943","386","198","188","1900","996","unknown","1539","664","875","897","","unknown","44","23","70","57","115","欠損値","1520","unknown","832","419","527","310","208","","3","23447","3118","248","9","39","36","3","0","5","51","2","3","","29","21","unknown","欠損値","","11","6","9","","163","2038","140","191","814","9","0","24","243","4","5","8","123","36","28","196","29","","欠損値","140","1007","891","","133","84","9.2","3736562","599596","3646844","659848","751050","221998","2024","","0","1","13","123","1","13","97","0","0","1898","1098","800","37","29","8","1501","531","970","152","855","882","15","","3859","513","42","18","0","0","欠損値","1","2","1","unknown","1","69"
"R20432","長野県","木曽町","unknown","unknown","6091","11689","5692","5997","1205","612","593","5993","3152","2841","","1942","2644","2570","980","1590","133","47","197","","405","4942","4927","11555","2605","1587","1510","810","765","25","8","47603","5731","955","15","119","62","6","8","欠損値","192","11","unknown","35","196","74","34","63","11","68","25","17","182","756","6793","143","543","699","47","70","264","1005","86","unknown","142","unknown","","390","954","241","507","424","151","1265","5377","307","508","80.1","4.9","unknown","1685826","11332505","2108498","979364","1652175","36938","1","unknown","4","62","452","3","39","245","","453","6107","3426","2681","181","136","45","4260","1516","2744","496","1352","4215","48","0","11543","1688","162","85","1","unknown","欠損値","8","30","8","","4","224"
